"EntrezID","Symbol","Synonyms","length"
1,"A1BG","A1B|ABG|GAB|HYST2477",1774
2,"A2M","A2MD|CPAMD5|FWP007|S863-7",4689
3,"A2MP1","A2MP",1210
9,"NAT1","AAC1|MNAT|NAT-1|NATI",3122
10,"NAT2","AAC2|NAT-2|PNAT",1319
11,"NATP","AACP|NATP1",NA
12,"SERPINA3","AACT|ACT|GIG24|GIG25",1595
13,"AADAC","CES5A1|DAC",1611
14,"AAMP",NA,1846
15,"AANAT","DSPS|SNAT",2157
16,"AARS","CMT2N|EIEE29",3365
17,"AAVS1","AAV",NA
18,"ABAT","GABA-AT|GABAT|NPD009",5948
19,"ABCA1","ABC-1|ABC1|CERP|HDLDT1|TGD",10552
20,"ABCA2","ABC2",8410
21,"ABCA3","ABC-C|ABC3|EST111653|LBM180|SMDP3",6656
22,"ABCB7","ABC7|ASAT|Atm1p|EST140535",2544
23,"ABCF1","ABC27|ABC50",23438
24,"ABCA4","ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1",7375
25,"ABL1","ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl",6164
26,"AOC1","ABP|ABP1|DAO|DAO1|KAO",2498
27,"ABL2","ABLL|ARG",12663
28,"ABO","A3GALNT|A3GALT1|GTB|NAGAT",1586
29,"ABR","MDB",6683
30,"ACAA1","ACAA|PTHIO|THIO",1998
31,"ACACA","ACAC|ACACAD|ACC|ACC1|ACCA",11443
32,"ACACB","ACC2|ACCB|HACC275",9301
33,"ACADL","ACAD4|LCAD",2501
34,"ACADM","ACAD1|MCAD|MCADH",2746
35,"ACADS","ACAD3|SCAD",2098
36,"ACADSB","2-MEBCAD|ACAD7|SBCAD",5952
37,"ACADVL","ACAD6|LCACD|VLCAD",2540
38,"ACAT1","ACAT|MAT|T2|THIL",2146
39,"ACAT2",NA,1919
40,"ASIC2","ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1",4282
41,"ASIC1","ACCN2|ASIC|BNaC2",4750
43,"ACHE","ACEE|ARACHE|N-ACHE|YT",3092
46,"ACLS",NA,NA
47,"ACLY","ACL|ATPCL|CLATP",4398
48,"ACO1","ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1",3642
49,"ACR",NA,1375
50,"ACO2","ACONM|ICRD|OCA8",2759
51,"ACOX1","ACOX|PALMCOX|SCOX",7934
52,"ACP1","HAAP|LMW-PTP",1888
53,"ACP2","LAP",2328
54,"ACP5","SPENCDI|TRAP",1817
55,"ACPP","5'-NT|ACP-3|ACP3",3829
56,"ACRV1","D11S4365|SP-10|SPACA2",1179
58,"ACTA1","ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3",1499
59,"ACTA2","AAT6|ACTSA|MYMY5",1861
60,"ACTB","BRWS1|PS1TP5BP1",1818
62,"ACTBP2",NA,NA
63,"ACTBP3",NA,NA
64,"ACTBP4",NA,NA
66,"ACTBP6","H8-PSI-BETA-AC3",NA
67,"ACTBP7",NA,NA
68,"ACTBP8","ACTBP2",NA
69,"ACTBP9",NA,NA
70,"ACTC1","ACTC|ASD5|CMD1R|CMH11|LVNC4",3700
71,"ACTG1","ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176",2111
72,"ACTG2","ACT|ACTA3|ACTE|ACTL3|ACTSG|VSCM",1340
73,"ACTG1P1","ACT1GP1|ACTGP1|HY-psi-gamma-AC6",NA
74,"ACTG1P2","ACTGP2|ACTL2",NA
75,"ACTG1P3","ACTGP3|dJ545L17.4",NA
78,"ACTG1P6","ACTGP6",NA
79,"ACTG1P7","ACTGP7",NA
80,"ACTG1P8","ACTGP8",NA
81,"ACTN4","ACTININ-4|FSGS|FSGS1",3975
82,"ACTG1P9","ACTGP9",NA
83,"ACTG1P10","ACTGP10|ACTL1|ACTP1",NA
86,"ACTL6A","ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K",1960
87,"ACTN1","BDPLT15",3813
88,"ACTN2","CMD1AA|CMH23",5133
89,"ACTN3",NA,3353
90,"ACVR1","ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI",3124
91,"ACVR1B","ACTRIB|ACVRLK4|ALK4|SKR2",4818
92,"ACVR2A","ACTRII|ACVR2",5455
93,"ACVR2B","ACTRIIB|ActR-IIB|HTX4",11384
94,"ACVRL1","ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I",4414
95,"ACY1","ACY-1|ACY1D|HEL-S-5",1693
97,"ACYP1","ACYPE",981
98,"ACYP2","ACYM|ACYP",1226
100,"ADA",NA,1544
101,"ADAM8","CD156|CD156a|MS2",3324
102,"ADAM10","AD10|AD18|CD156c|HsT18717|MADM|RAK|kuz",5050
103,"ADAR","ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136",7109
104,"ADARB1","ADAR2|DRABA2|DRADA2|RED1",7158
105,"ADARB2","ADAR3|RED2",8436
106,"ADCP1",NA,NA
107,"ADCY1","AC1|DFNB44",12953
108,"ADCY2","AC2|HBAC2",6578
109,"ADCY3","AC3",4417
111,"ADCY5","AC5|FDFM",6279
112,"ADCY6","AC6|LCCS8",6124
113,"ADCY7","AC7",6291
114,"ADCY8","AC8|ADCY3|HBAC1",4119
115,"ADCY9","AC9",7738
116,"ADCYAP1","PACAP",3382
117,"ADCYAP1R1","PAC1|PAC1R|PACAPR|PACAPRI",6592
118,"ADD1","ADDA",5036
119,"ADD2","ADDB",5961
120,"ADD3","ADDL",4644
122,"ADFN","ALDS",NA
123,"PLIN2","ADFP|ADRP",2105
124,"ADH1A","ADH1",1509
125,"ADH1B","ADH2|HEL-S-117",2824
126,"ADH1C","ADH3",1767
127,"ADH4","ADH-2|HEL-S-4",2162
128,"ADH5","ADH-3|ADHX|FALDH|FDH|GSH-FDH|GSNOR",2660
130,"ADH6","ADH-5",3015
131,"ADH7","ADH4",2407
132,"ADK","AK",2451
133,"ADM","AM|PAMP",1594
134,"ADORA1","RDC7",2923
135,"ADORA2A","A2aR|ADORA2|RDC8",2963
136,"ADORA2B","ADORA2",1887
137,"ADORA2BP1","ADORA2BP",NA
140,"ADORA3","A3AR",2311
141,"ADPRH","ARH1",3687
142,"PARP1","ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1",4008
143,"PARP4","ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193",5503
144,"PARP1P1","ADPRTP1|PPOLP1",NA
145,"PARP1P2","ADPRTP2|PPOLP2",NA
146,"ADRA1D","ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2",2668
147,"ADRA1B","ADRA1|ALPHA1BAR",2256
148,"ADRA1A","ADRA1C|ADRA1L1|ALPHA1AAR",3565
150,"ADRA2A","ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32",3874
151,"ADRA2B","ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR",3363
152,"ADRA2C","ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR",1959
153,"ADRB1","ADRB1R|B1AR|BETA1AR|RHR",2863
154,"ADRB2","ADRB2R|ADRBR|B2AR|BAR|BETA2AR",2043
155,"ADRB3","BETA3AR",2648
156,"ADRBK1","BARK1|BETA-ARK1|GRK2",3465
157,"ADRBK2","BARK2|GRK3",9076
158,"ADSL","AMPS|ASASE|ASL",1576
159,"ADSS","ADEH|ADSS 2",2795
160,"AP2A1","ADTAA|AP2-ALPHA|CLAPA1",3523
161,"AP2A2","ADTAB|CLAPA2|HIP-9|HIP9|HYPJ",4678
